2026-04-11 11:08:44,989 - Database - INFO - 索引已确保存在于 stock_data.stock_daily
2026-04-11 11:08:44,989 - DataFetcher - INFO - 正在登录 Baostock...
2026-04-11 11:08:46,337 - DataFetcher - INFO - Baostock 登录成功
2026-04-11 11:08:57,674 - Database - INFO - 成功同步 6400 条记录。插入:6400, 更新:0
2026-04-11 11:09:02,552 - Database - INFO - 成功同步 5573 条记录。插入:5573, 更新:0
2026-04-11 11:09:06,718 - Database - INFO - 成功同步 6471 条记录。插入:6471, 更新:0
2026-04-11 11:09:12,268 - Database - INFO - 成功同步 6567 条记录。插入:6567, 更新:0
2026-04-11 11:09:21,201 - Database - INFO - 成功同步 6292 条记录。插入:6292, 更新:0
2026-04-11 11:09:29,120 - Database - INFO - 成功同步 6603 条记录。插入:6603, 更新:0
2026-04-11 11:09:34,845 - Database - INFO - 成功同步 6087 条记录。插入:6087, 更新:0
2026-04-11 11:09:41,483 - Database - INFO - 成功同步 5903 条记录。插入:5903, 更新:0
2026-04-11 11:09:50,777 - Database - INFO - 成功同步 5645 条记录。插入:5645, 更新:0
2026-04-11 11:10:00,452 - Database - INFO - 成功同步 5481 条记录。插入:5481, 更新:0
2026-04-11 11:10:05,637 - Database - INFO - 成功同步 6134 条记录。插入:6134, 更新:0
2026-04-11 11:10:08,643 - Database - INFO - 成功同步 4735 条记录。插入:4735, 更新:0
2026-04-11 11:10:15,580 - Database - INFO - 成功同步 4728 条记录。插入:4728, 更新:0
2026-04-11 11:10:29,969 - Database - INFO - 成功同步 6139 条记录。插入:6139, 更新:0
2026-04-11 11:10:33,784 - Database - INFO - 成功同步 5506 条记录。插入:5506, 更新:0
2026-04-11 11:10:39,503 - Database - INFO - 成功同步 5453 条记录。插入:5453, 更新:0
2026-04-11 11:10:43,649 - Database - INFO - 成功同步 5293 条记录。插入:5293, 更新:0
2026-04-11 11:10:45,737 - Database - INFO - 成功同步 2991 条记录。插入:2991, 更新:0
2026-04-11 11:10:47,236 - Database - INFO - 成功同步 2016 条记录。插入:2016, 更新:0
2026-04-11 11:11:00,284 - Database - INFO - 成功同步 5801 条记录。插入:5801, 更新:0
2026-04-11 11:11:05,996 - Database - INFO - 成功同步 5142 条记录。插入:5142, 更新:0
2026-04-11 11:11:14,786 - Database - INFO - 成功同步 5984 条记录。插入:5984, 更新:0
2026-04-11 11:11:22,267 - Database - INFO - 成功同步 5516 条记录。插入:5516, 更新:0
2026-04-11 11:11:31,445 - Database - INFO - 成功同步 5646 条记录。插入:5646, 更新:0
2026-04-11 11:11:41,218 - Database - INFO - 成功同步 5532 条记录。插入:5532, 更新:0
2026-04-11 11:11:42,877 - Database - INFO - 成功同步 1183 条记录。插入:1183, 更新:0
2026-04-11 11:11:52,154 - Database - INFO - 成功同步 6107 条记录。插入:6107, 更新:0
2026-04-11 11:12:03,743 - Database - INFO - 成功同步 5367 条记录。插入:5367, 更新:0
2026-04-11 11:12:10,006 - Database - INFO - 成功同步 5828 条记录。插入:5828, 更新:0
2026-04-11 11:12:16,581 - Database - INFO - 成功同步 6108 条记录。插入:6108, 更新:0
2026-04-11 11:12:20,967 - Database - INFO - 成功同步 6135 条记录。插入:6135, 更新:0
2026-04-11 11:12:25,008 - Database - INFO - 成功同步 5597 条记录。插入:5597, 更新:0
2026-04-11 11:12:31,963 - Database - INFO - 成功同步 4786 条记录。插入:4786, 更新:0
2026-04-11 11:12:37,459 - Database - INFO - 成功同步 5708 条记录。插入:5708, 更新:0
2026-04-11 11:12:45,502 - Database - INFO - 成功同步 6603 条记录。插入:6603, 更新:0
2026-04-11 11:12:55,663 - Database - INFO - 成功同步 6603 条记录。插入:6603, 更新:0
2026-04-11 11:12:59,437 - Database - INFO - 成功同步 6603 条记录。插入:6603, 更新:0
2026-04-11 11:13:11,563 - Database - INFO - 成功同步 6603 条记录。插入:6603, 更新:0
2026-04-11 11:13:17,490 - Database - INFO - 成功同步 6603 条记录。插入:6603, 更新:0
2026-04-11 11:13:28,454 - Database - INFO - 成功同步 6603 条记录。插入:6603, 更新:0
2026-04-11 11:13:40,382 - Database - INFO - 成功同步 6603 条记录。插入:6603, 更新:0
2026-04-11 11:13:45,286 - Database - INFO - 成功同步 6603 条记录。插入:6603, 更新:0
2026-04-11 11:13:52,020 - Database - INFO - 成功同步 6603 条记录。插入:6603, 更新:0
2026-04-11 11:13:59,018 - Database - INFO - 成功同步 6603 条记录。插入:6603, 更新:0
2026-04-11 11:14:07,416 - Database - INFO - 成功同步 6603 条记录。插入:6603, 更新:0
2026-04-11 11:14:21,859 - Database - INFO - 成功同步 6603 条记录。插入:6603, 更新:0
2026-04-11 11:14:26,396 - Database - INFO - 成功同步 6603 条记录。插入:6603, 更新:0
2026-04-11 11:14:34,992 - Database - INFO - 成功同步 6603 条记录。插入:6603, 更新:0
2026-04-11 11:14:44,364 - Database - INFO - 成功同步 6603 条记录。插入:6603, 更新:0
2026-04-11 11:14:54,812 - Database - INFO - 成功同步 6603 条记录。插入:6603, 更新:0
2026-04-11 11:14:59,517 - Database - INFO - 成功同步 6603 条记录。插入:6603, 更新:0
2026-04-11 11:15:09,081 - Database - INFO - 成功同步 6603 条记录。插入:6603, 更新:0
2026-04-11 11:15:22,240 - Database - INFO - 成功同步 6603 条记录。插入:6603, 更新:0
2026-04-11 11:15:32,112 - Database - INFO - 成功同步 6603 条记录。插入:6603, 更新:0
2026-04-11 11:15:43,739 - Database - INFO - 成功同步 6603 条记录。插入:6603, 更新:0
2026-04-11 11:16:02,895 - Database - INFO - 成功同步 6603 条记录。插入:6603, 更新:0
2026-04-11 11:16:12,540 - Database - INFO - 成功同步 6603 条记录。插入:6603, 更新:0
2026-04-11 11:16:19,493 - Database - INFO - 成功同步 6603 条记录。插入:6603, 更新:0
2026-04-11 11:16:27,515 - Database - INFO - 成功同步 6603 条记录。插入:6603, 更新:0
2026-04-11 11:16:31,383 - Database - INFO - 成功同步 6603 条记录。插入:6603, 更新:0
2026-04-11 11:16:39,249 - Database - INFO - 成功同步 6603 条记录。插入:6603, 更新:0
2026-04-11 11:16:45,727 - Database - INFO - 成功同步 6603 条记录。插入:6603, 更新:0
2026-04-11 11:16:52,352 - Database - INFO - 成功同步 6603 条记录。插入:6603, 更新:0
2026-04-11 11:16:57,738 - Database - INFO - 成功同步 6603 条记录。插入:6603, 更新:0
2026-04-11 11:17:16,174 - Database - INFO - 成功同步 6603 条记录。插入:6603, 更新:0
2026-04-11 11:17:23,659 - Database - INFO - 成功同步 6603 条记录。插入:6603, 更新:0
2026-04-11 11:17:33,456 - Database - INFO - 成功同步 6603 条记录。插入:6603, 更新:0
2026-04-11 11:17:43,557 - Database - INFO - 成功同步 6603 条记录。插入:6603, 更新:0
2026-04-11 11:17:49,245 - Database - INFO - 成功同步 6603 条记录。插入:6603, 更新:0
2026-04-11 11:17:54,455 - Database - INFO - 成功同步 6603 条记录。插入:6603, 更新:0
2026-04-11 11:18:19,149 - Database - INFO - 成功同步 6603 条记录。插入:6603, 更新:0
2026-04-11 11:18:27,773 - Database - INFO - 成功同步 6603 条记录。插入:6603, 更新:0
2026-04-11 11:18:36,091 - Database - INFO - 成功同步 6603 条记录。插入:6603, 更新:0
2026-04-11 11:18:42,944 - Database - INFO - 成功同步 6603 条记录。插入:6603, 更新:0
2026-04-11 11:19:03,403 - Database - INFO - 成功同步 6603 条记录。插入:6603, 更新:0
2026-04-11 11:19:11,180 - Database - INFO - 成功同步 6603 条记录。插入:6603, 更新:0
2026-04-11 11:19:14,876 - Database - INFO - 成功同步 6603 条记录。插入:6603, 更新:0
2026-04-11 11:19:50,150 - Database - INFO - 成功同步 6603 条记录。插入:6603, 更新:0
2026-04-11 11:19:59,099 - Database - INFO - 成功同步 6603 条记录。插入:6603, 更新:0
2026-04-11 11:20:05,083 - Database - INFO - 成功同步 6603 条记录。插入:6603, 更新:0
2026-04-11 11:20:12,711 - Database - INFO - 成功同步 6603 条记录。插入:6603, 更新:0
2026-04-11 11:20:18,568 - Database - INFO - 成功同步 6603 条记录。插入:6603, 更新:0
2026-04-11 11:20:24,134 - Database - INFO - 成功同步 5328 条记录。插入:5328, 更新:0
2026-04-11 11:20:28,661 - Database - INFO - 成功同步 6603 条记录。插入:6603, 更新:0
2026-04-11 11:20:36,734 - Database - INFO - 成功同步 6603 条记录。插入:6603, 更新:0
2026-04-11 11:20:47,884 - Database - INFO - 成功同步 6603 条记录。插入:6603, 更新:0
2026-04-11 11:20:54,271 - Database - INFO - 成功同步 6603 条记录。插入:6603, 更新:0
2026-04-11 11:21:00,668 - Database - INFO - 成功同步 6603 条记录。插入:6603, 更新:0
2026-04-11 11:21:12,374 - Database - INFO - 成功同步 6603 条记录。插入:6603, 更新:0
2026-04-11 11:21:21,682 - Database - INFO - 成功同步 6603 条记录。插入:6603, 更新:0
